Título,Imagem,Subtítulo,Conteúdo,Autor,Data
VALENCIANAS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/08/oop_18_turne_nacional_SP_VALENCIANAS_cover_site1.png,INGRESSOS ESGOTADOS,"A Orquestra Ouro Preto, com regência do maestro Rodrigo Toffolo, e Alceu Valença nos vocais, apresenta o espetáculo Valencianas, em São Paulo. A apresentação integra a Turnê Nacional da Orquestra Ouro Preto e será realizada no Theatro Municipal de São Paulo (Praça Ramos De Azevedo, s/n – República), no dia 14 de agosto, terça-feira às 20h30, e conta com patrocínio da SulAmérica, através da Lei Federal de Incentivo à Cultura do Governo Federal. Os ingressos estão esgotados.
Gravado em CD e DVD, Valencianas apresenta um recorte na biografia musical de Alceu Valença, que em 2012, ao completar 40 anos de carreira, teve, pela primeira vez, suas canções adaptadas para a música de concerto pela Orquestra Ouro Preto, regida pelo maestro Rodrigo Toffolo. Em 2015, o espetáculo foi consagrado com o Prêmio da Música Brasileira na categoria Melhor Álbum de Música Popular Brasileira.
Com participação do cantor e compositor, Valencianas tem arranjos assinados pelo violinista da Orquestra, Mateus Freire, paraibano, que teve o cuidado de preservar e não descaracterizar a essência da obra de Alceu, com seu compromisso permanente com a cultura popular nordestina. O espetáculo começou a ser preparado em 2010, quando o maestro e o compositor foram apresentados, em Ouro Preto, por um amigo em comum, depois produtor do espetáculo, Paulo Rogério Lage, que há tempos planejava proporcionar contornos orquestrais ao cancioneiro de Alceu.
Mais que propor o diálogo entre a música erudita e a canção popular, Valencianas procura demonstrar a universalidade artística de Alceu e a diversidade de sua obra. “O desafio é respeitar aquilo que torna a obra de Alceu Valença única. O espetáculo é grandioso e busca evidenciar a maestria do cantor e a nordestinidade inerente à sua obra, capítulo fundamental na história da música de nosso país, que contribuiu, inclusive, para a ideia de música popular brasileira que temos hoje”, afirma Rodrigo Toffolo.
E Alceu Valença celebra o encontro com a Orquestra. “Num mundo dominado pela indústria do entretenimento, onde tudo é dinheiro e há pouco sentimento, a música de concerto é uma forma de transcendência. Este projeto representa uma nova vertente na minha carreira”, celebra o homenageado.
",OOP,13/8/2018
DOMINGOS CLÁSSICOS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/08/oop_18_domingos_classicos_chico_mario_cover_face_1.png,70 ANOS DE CHICO MÁRIO,"Com regência do maestro Rodrigo Toffolo, a Orquestra Ouro Preto faz concerto da Orquestra Ouro Preto em homenagem a Francisco Mário (Chico Mário), no dia 12 de agosto, às 11h, no Grande Teatro do Sesc Palladium.
Um dos pioneiros do disco independente no Brasil e o primeiro artista a utilizar a ferramenta de crowdfunding – ainda na década de 80 – para produzir seu segundo disco da carreira, o mineiro Francisco Mário é reconhecido no cenário musical pelos primorosos trabalhos que desenvolveu. Nascido em 22 de agosto, este ano Chico completaria 70 anos se estivesse vivo.
A apresentação terá participação especial da cantora e bailarina Karina Souza e do pianista Marcos Souza, ambos filhos de Chico Mário, e contará a história do Brasil através do tempo e dos grandes acontecimentos históricos e musicais do país: da descoberta, passando pela chegada da família real, a origem do samba, da bossa nova, pela ditadura no Brasil até as Diretas Já.
Além do concerto, que será oferecido com ingressos a preços populares, o público poderá participar de uma atividade formativa e aproximar-se ainda mais do universo da Orquestra Ouro Preto. Trinta minutos antes do concerto, o público terá a oportunidade de participar de um bate-papo com o maestro da Orquestra Ouro Preto no “Fala, Maestro”. “Em parceria com o Sesc oferecemos ao público a oportunidade de mergulhar ainda mais no universo da música erudita ao ter a chance de ouvir as histórias e as curiosidades sobre a música de concerto durante o bate-papo comigo”, ressalta Toffolo.
Marcos Souza, idealizador do Instituto Chico Mário e do Festival Musimagem, é uma das pessoas responsáveis pela organização do concerto. “A história de Chico merece ser relembrada e propagada, pois ele tem fundamental importância no cenário musical mineiro”, diz Souza.
Os ingressos para o concerto Chico Mário estão à venda por R$ 20,00 (inteira) e R$ 10,00 (meia). Os trabalhadores do comércio de bens, serviços e turismo têm 60% de desconto e pagam R$ 8,00. Os convites podem ser adquiridos na bilheteria do Sesc Palladium e no www.ingressorapido.com.br.
A Série Domingos Clássicos é uma parceria da Orquestra Ouro Preto com o Sesc em Minas, visando a democratização do acesso à música de concerto, através de uma curadoria artística impar e preços acessíveis.
",OOP,8/8/2018
SUÍTE MASAI,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/07/WhatsApp-Image-2018-07-24-at-07.jpg,RENEGADO E OOP,"Quebra de fronteiras, a harmonia de experiências de vida distintas, tudo isso tendo a música como emblema e dispositivo de transformação social, buscando a aproximação entre universos que, à primeira vista, são diferentes, mas que, sobretudo, se complementam. São muitos os conceitos que podem resumir o encontro inédito do hip-hop com o erudito em Suíte Masai. Projeto do músico Flávio Renegado com a Orquestra Ouro Preto – regida pelo maestro Rodrigo Toffolo – que será apresentado pela primeira vez no dia 04 de agosto, sábado, às 16h, no Campo do Riviera Atlético Clube (Rua Itaguá, 304, Alto Vera Cruz). O show será registrado em CD e DVD, com entrada gratuita, mediante a doação de 1 k de alimento não perecível.
Suíte Masai – Uma história que vale a pena ser contada
Flávio. Um jovem que driblou a violência, a falta de acesso, e, com estilo, deu a volta por cima para se firmar a frente do cenário artístico nacional. O seu nome “de guerra” foi o amigo de sua comunidade que o batizou: Renegado. Flavio Renegado é tido como inquieto, suas descobertas passam pelo rock, rap, eletrônico, batidas e gêneros da rica música brasileira. Os últimos 10 anos marcaram uma renovação no hip-hop nacional.
Através do diálogo com outros gêneros musicais, o hip-hop se transformou em um dos estilos mais ouvidos no país e porta-voz de toda uma geração. Um dos rappers mais transformadores desse processo, por sua linguagem ímpar e por ser o primeiro a trazer banda completa em seu show e a misturar o rap com o rock, o mineiro Flávio Renegado é um dos emblemas desse processo. Nascido no bairro Alto Vera Cruz, periferia de Belo Horizonte, ele usa a música como ferramenta de expressão e forma de estimular a criatividade, além de promover a democratização do acesso aos bens culturais e valorizar a cultura brasileira. Sua inquietude agora propõe, mais uma vez, o inédito, a mistura do Hip-hop com a música erudita.
Impossível? Não para a Orquestra Ouro Preto. Se há palavras que falam diretamente sobre o trabalho da prestigiada formação orquestral mineira, estas seriam excelência e versatilidade. A primeira, significando a performance de alto nível que a caracteriza e o zelo pelo repertório dito canônico, comum às grandes orquestras do mundo. A segunda, o diálogo entre o universo erudito e popular. Componentes que a transformaram em uma das mais prestigiadas formações orquestrais do país, com trabalhos reconhecidos nacional e internacionalmente, sendo dona, por exemplo, de premiações importantes como Prêmio da Música Brasileira, Prêmio Profissionais da Música, e indicação ao Grammy Latino.
Regida pelo Maestro Rodrigo Toffolo – e também diretor artístico do grupo -, o nome da Orquestra Ouro Preto sempre foi associado à inovação e qualidade. Seja tocando Bach, Mozart, Vivaldi ou Villa-Lobos, seja apresentando trabalhos arrojados, marcados pelo pioneirismo na criação de espetáculos inusitados, ao propor o trânsito entre a música de concerto e a música pop. Exemplos são muitos, como os sucessos de público e crítica de “Valencianas – Alceu Valença e Orquestra Ouro Preto” (vencedor do Prêmio da Música Brasileira em 2015, como melhor disco de MPB), ao lado de um dos grandes nomes da MPB, e “Orquestra Ouro Preto – The Beatles”, com mais de 200 récitas em todo o país, e participação destacada na International Beatles Week em Liverpool, arrancando elogios de beatlemaníacos de todo o mundo no prestigiado festival inglês.
Agora, Suíte Masai marca um novo período de sucesso de Flávio Renegado e da Orquestra Ouro Preto. O projeto une esses dois grandes nomes da música nacional em um grande espetáculo que apresentará um hip-hop orquestrado com maestria, com arranjos rebuscados assinados pelo maestro Marcelo Ramos, além da força das letras e da voz de Flávio Renegado, bem como dos acordes da Orquestra Ouro Preto, propondo um retrato do cotidiano inspirado em nossas raízes africanas. “Suíte Masai foi criada a partir de uma pesquisa sobre uma tribo de guerreiros africanos de mesmo nome e celebra nossos ancestrais ao mesmo tempo que aponta novos caminhos por meio da criatividade, da mistura e da transformação, características marcantes do nosso país”, conta Flávio que em sua trajetória busca liberdade de conduzir e escrever sua história com o que acredita, e não como o mercado vem impondo a sobrevivência do mundo musical nos últimos 5 anos.
Para o maestro da Orquestra Ouro Preto, Rodrigo Toffolo, o projeto com o cantor Flávio Renegado vai ao encontro de uma das mais importantes características de sua Orquestra. “Nossos propósito é desmistificar o conceito que muitas pessoas têm de que orquestras são elitistas. Desde a nossa fundação, em 2000, pautamos nosso trabalho no experimentalismo e no ineditismo, destruindo preconceitos e quebrando as fronteiras imaginárias que distanciam a música popular da música orquestral.  Algo que faz parte, mesmo, do DNA da Orquestra Ouro Preto”, destaca Toffolo.
O local da gravação do CD/DVD dialoga com a proposta do trabalho: desloca o show de uma sala de concerto para o campo de futebol de várzea do Alto Veracurz, uma das maiores comunidades da capital com cerca de 40 mil habitantes. “É uma alegria imensa gravar esse disco no bairro onde eu nasci e vivo até hoje. A ideia é lançar o disco e se apresentar pelo Brasil com a minha banda ao lado da Orquestra Ouro Preto em diferentes cidades. Dessa forma, a Suíte Masai se mantém viva e cada show será uma experiência única. Mas, primeiro, eu tenho que me apresentar em casa. Quero que meus amigos, meus vizinhos aprovem meu trabalho antes de eu mostrar para o resto do mundo. A opinião deles conta e muito!”, destaca o rapper.
A Suíte Masai é uma realização da Casulo Cultura em parceria com a Orquestra Ouro Preto e o Incentivo Social da ONG A Rebeldia.
",OOP,26/7/2018
OOP EM CONGONHAS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/07/oop_18_TE_Congonhas_cover_facebook_1.png,TURNÊ ESTADUAL,"A Orquestra Ouro Preto, regida pelo maestro Rodrigo Toffolo, faz concerto de lançamento do DVD Música para Cinema, no Cine Theatro Leon, no dia 20 de julho, sexta-feira, às 20h30. A apresentação conta com patrocínio da Vale, através da Lei Rouanet e apoio da Prefeitura Municipal de Congonhas, através da Secretaria Municipal de Cultura. O concerto tem entrada gratuita, e os ingressos podem ser adquiridos na bilheteria do Cine Theatro Leon, a partir das 19h30.
Com direção musical de Rodrigo Toffolo, regente titular e diretor artístico da Orquestra Ouro Preto, o concerto reproduz o DVD na íntegra O projeto que culminou na gravação do DVD nasceu há dois anos, com a finalidade de promover uma homenagem ao cinema, ao contar parte da história da sétima arte através de trilhas sonoras que, ao longo do século XX, tornaram-se inesquecíveis e de grande importância para a cultura moderna.
Gravado em Ouro Preto, o DVD apresenta uma cuidadosa seleção de obras que compreendem o cinema nacional e internacional, no sétimo trabalho lançado pela Orquestra Ouro Preto. O tema de O Carteiro e O Poeta, dirigido por Michael Redford, abre o disco, remetendo à poesia de Pablo Neruda, ao recriar em um arranjo inédito a atmosfera de amor e amizade inerente ao filme lançado em 1994. Seguida por ele, o álbum apresenta Manhã de Carnaval, obra primorosa de Luiz Bonfá, em arranjo de Pedro Milmam, que se consolidou como paisagem sonora do premiado filme Orfeu Negro (1959), dirigido por Marcel Camus.
Música para Cinema conta ainda com quatro obras que celebram o período clássico do cinema hollywoodiano. Garimpado da filmografia de Charles Chaplin, o disco apresenta um pot-pourri de Smile e Eternarlly, trilhas de Tempos Modernos (1936) e Luzes da Ribalta (1952), respectivamente. As obras ganharam arranjos inéditos, pelas mãos de Mateus Freire. O violinista assina ainda os arranjos dos temas de A Noviça Rebelde (1965) e Casablanca (1942), este, remetendo à emblemática cena em que Ilsa Land, interpretada por Ingrid Bergman, solicita a Sam (Dooley Wilson) que toque, ao piano, a canção As Times Goes By.
Como não só de drama e romance vive o cinema, o álbum revive, em uma de suas faixas, aquela que é considerada uma das cenas mais hilárias da sétima arte, com The Typewriter, de Who’s Mind The Store? (1963), no Brasil traduzido como Errado pra Cachorro, protagonizado por Jerry Lewies, que “toca” uma máquina de escrever imaginária, impactado pelo mundo do trabalho e as novas formas de experienciar o tempo promovidas pela modernidade.
O sétimo álbum da Orquestra Ouro Preto traz ainda o tema de Cinema Paradiso (1988) e do documentário brasileiro Três Irmãos de Sangue (2006).
FORMAÇÃO DE PLATEIA
Antes do concerto, às 20h, o público presente terá a oportunidade de dialogar com o Maestro Rodrigo Toffolo, que promoverá um bate-papo, no formato de palestra, abordando o processo de criação de um produto musical e a importância da trilha sonora no cinema.
",OOP,19/7/2018
TURNÊ ESTADUAL,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/07/oop_18_TE_Mariana_cover_facebook_1.png,OOP EM MARIANA,"Com regência do maestro Rodrigo Toffolo, a Orquestra Ouro Preto retorna a Mariana nesta quarta-feira, dia 18 de julho, às 20h, para um concerto na Praça Cláudio Manoel (Praça da Sé). A apresentação é gratuita e integra a Turnê Estadual da Orquestra Ouro Preto, patrocinada pela Vale, através da Lei Federal de Incentivo à Cultura, e conta com apoio da Prefeitura Municipal de Mariana, através da Secretaria Municipal de Cultura.
No repertório, a Orquestra Ouro Preto destaca trilhas sonoras inesquecíveis do cinema nacional e internacional, lançando o DVD Música para Cinema, além de homenagear a primaz de Minas, com uma série de fados portugueses.
A Praça Cláudio Manoel está localizada no centro de Mariana.
",OOP,17/7/2018
DIA MUNDIAL DO ROCK,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/07/WhatsApp-Image-2018-07-12-at-12.jpg,OOP TOCA NO FESTIVAL DE INVERNO,"A Orquestra Ouro Preto, regida pelo Maestro Rodrigo Toffolo, celebra o Dia Mundial do Rock, nesta sexta-feira, dia 13 de julho, com apresentação gratuita em Ouro Preto, integrando a programação do Festival de Inverno de Ouro Preto e Mariana. O concerto será às 21h, no Estacionamento do Centro de Artes e Convenções da Ufop.
O concerto The Beatles propõe uma viagem sonora pela biografia musical do grupo. As músicas privilegiam a linha melódica original das canções executadas por violinos, violas, violoncelos e baixo. “O objetivo da escolha é manter fidelidade às peças, desvendando a complexidade melódica das canções do grupo e, ao mesmo tempo, reafirmando o caráter atemporal da obra do quarteto de Liverpool”, explica o maestro Rodrigo Toffolo, diretor artístico e regente titular da Orquestra Ouro Preto.
Sucesso de público e crítica, o espetáculo já passou por diversos estados do Brasil. A orquestra também marcou presença na International Beatle Week, em Liverpool, em 2012, e se tornou a primeira do mundo a participar do tradicional evento destinado aos beatlemaníacos.
",OOP,12/7/2018
OOP CONVIDA,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/07/oop_18_FEA_carmelo_cover-2.png,CARMELO DE LOS SANTOS,"A Orquestra Ouro Preto, sob regência do Maestro Rodrigo Toffolo, faz concerto no próximo dia 04 de julho, às 20h, na Fundação de Educação Artística, à Rua Gonçalves Dias, 320, em Belo Horizonte.
No repertório, a OOP mostra sua excelência, destacando as obras de Felix Mendelssohn (1809 – 1847) e Tomaso Antonio Vitali (1663 – 1745), em um concerto dedicado à uma formação orquestral que privilegia as potencialidades performáticas dos instrumentos de cordas.
A Orquestra destaca ainda a presença do solista convidado Carmelo de los Santos, um dos mais importantes violinista brasileiro da atualidades. Virtuosi, Carmelo é ganhador de vários prêmios nacionais e internacionais, entre eles o primeiro prêmio no 4º Concurso Internacional de Cordas Júlio Cardona (Portugal), primeiro prêmio no Music Teachers National Association (MTNA) Collegiate Artist Competition (USA) Collegiate Artist Competition (USA), e segundo prêmio no Young Artist International Competition (Argentina) e o Prêmio Eldorado (BRA).
Como solista, colcaborou com mais de 40 orquestras pelo mundo, incluindo a New World Symphony, Santa Fe Pro-Musica, New Mexico Symphonies, Montevideo Philarmonic, Orchestra Musica d’Oltreoceano (Roma) e as principais orquestras do Brasil.
Ingressos:
À venda na bilheteria da FEA, a partir das 16h, no dia do concerto, ao valor de R$15 (inteira) e R$7,50 (meia).
",OOP,3/7/2018
A RÚSSIA E O BRASIL,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/07/oop_18_domingos_classicos_russia_cover.png,DOMINGOS CLÁSSICOS,"A Orquestra Ouro Preto, regida pelo Maestro Rodrigo Toffolo, entra no clima da Copa do Mundo e apresenta o concerto “A Rússia e o Brasil – A Música de Tchaikovsky e Villa-Lobos” no Grande Teatro do Sesc Palladium (R. Rio de Janeiro, 1046, Centro), no domingo, 8 de julho, às 11h.
O concerto é a quinta apresentação da Série Domingos Clássicos 2018, que celebra a residência da Orquestra Ouro Preto no Sesc Palladium, por meio da parceria com o Sesc em Minas. A apresentação conta com a participação do solista Robson Fonseca, ao violoncelo.
",OOP,3/7/2018
NÚCLEO DE APOIO A BANDAS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/08/oop_18_nabo_cover_site_003.jpg,"PRÓXIMOS MÓDULOS
","A Orquestra Ouro Preto sempre teve um sonho de desenvolver projetos junto às tradicionais corporações musicais de Ouro Preto, Mariana e região. No ano passado, este sonhou se tornou realidade, com a criação do Núcleo de Apoio a Bandas e Orquestras, que atendeu cerca de 150 músicos e musicistas de diferentes gêneros e várias idades. A iniciativa deu tão certo que este ano, já estabelecido como referência, o Núcleo retomou atividades, com a segunda edição do Curso de Fomento a Bandas e Corporações Musicais. Com patrocínio da Vale, através da Lei Federal de Incentivo à Cultura do Governo Federal, o curso foi dividido em quatro módulos, com atividades realizadas desde abril deste ano, nas cidades de Ouro Preto, Mariana e Aimorés.
O Núcleo foi criado com o objetivo de fomentar e capacitar regentes, professores e instrumentistas das tradicionais associações musicais de Minas Gerais e do Brasil. Consultorias, oficinas, palestras, atividades práticas e teóricas, tanto no que tange a prática musical, quanto a produção e capacitação para a inscrição de projetos para fomento e reestruturação das bandas estão entre as ações propostas pelo Núcleo, que visa preservar uma das tradições mais importantes do estado, tombada como Patrimônio Imaterial e Cultural de Minas Gerais. As atividades são inteiramente gratuitas, prezando pela troca de experiências e o diálogo com maestros, músicos e lideranças das associações musicais, atendendo, em 2018, 20 bandas e corporações musicais, o que representa 500 pessoas atingidas diretamente.
Ministram o curso, profissionais de renoma nacional e intarnacional como Dario Sotelo (Presidente da WASBE – Associação Mundial de Bandas, que reúne 30 países em todo o mundo e professor do Conservatório de Tatuí/SP), João Paulo Moreira (Músico da Orquestra Experimental de Repertório de São Paulo), Alexandre Takahama (Regente e Prof. Dr. da UNIPAMPA/RS) e Luís Fernando Paina (Regente da Orquestra de Sopros de Fernandópolis/SP), que trabalham práticas de ensaio, noções básicas de arranjos musicais, orientações de regência e métodos de ensaio coletivo, práticas de harmonização e sopro.  Os participantes do curso têm acesso ainda a o que há de mais original e inédito em métodos de ensino para diversos instrumentos e regência, importados diretamente dos Estados Unidos pela Orquestra Ouro Preto, através do Núcleo de Apoio a Bandas e Orquestras, que ao final do curso serão doados às bandas participantes.
De acordo com o maestro Rodrigo Toffolo, regente da Orquestra Ouro Preto e idealizador do Núcleo de Apoio a Bandas e Orquestra, o Núcleo possui um papel de grande importância no fomento às associações musicais. “Sabemos que as corporações musicais e bandas marciais, não só da região de Ouro Preto e Mariana, bem como de Minas Gerais e de todo o Brasil, fazem parte de um dos mais importantes bens culturais e sociais do país, na formação de profissionais e de cidadãos, através da música. Sabemos também que, apesar de todo a importância dessas associações, a manutenção de suas atividades é sempre com muita dificuldade, especialmente pela falta de apoio. Através do Núcleo de Apoio a Bandas e Orquestras e do Curso de Fomento às Bandas e Corporações Musicais patrocinado pela Vale, queremos estabelecer diálogo com esses fazeres tradicionais, trocar experiências e sugerir caminhos para a manutenção de suas atividades”, ressalta o maestro Rodrigo Toffolo.
De acordo com Dario Sotelo, presidente da Associação Mundial de Bandas, o Núcleo destaca-se, sobretudo, por ser uma iniciativa inédita no país, que contempla pessoas carentes mas que, pela falta de oportunidades, têm seus sonhos de se transformarem em profissionais da música interrompido. “É um prazer participar de uma atividade como esta, que coloca o estado de Minas Gerais como uma das principais referências do Brasil e do Mundo no que tange a preservação de uma tradição tão importante”, analisa Sotelo.
As próximas atividades do Núcleo de Apoio a Bandas e Orquestras acontecem nos dias 18 e 19 de agosto, na sede da Orquestra Ouro Preto, em Ouro Preto, abordando técnicas de ensaio coletivo e regência, além do ensaio da banda laboratório. Já nos dias 01 e 02 de setembro, o Núcleo promove um grande encontro musical entre as 20 bandas participantes, com um grande concerto a céu aberto na Praça Tiradentes, em Ouro Preto, reunindo 500 músicos e musicistas.
PRÊMIO ORQUESTRA OURO PRETO
Para 2018, o Núcleo de Apoio a Bandas e Orquestras apresenta uma grande novidade aos participantes, com a criação do Prêmio Orquestra Ouro Preto. Neste ano, foi formada uma banda laboratório pelos participantes. Ao final do curso, os professores escolherão dois músicos/musicistas que se destacarem no decorrer dos módulos, para uma residência artística e musical de uma semana, com tudo pago, em uma Universidade de Música em São Paulo.
Para Rodrigo Ramos, 17 anos, saxofonista da Sociedade Musical 8 de Dezembro, de Cachoeira do Brumado, distrito de Mariana, a possibilidade de participar da residência artística será uma grande alegria. “Se eu for selecionado vou ficar muito feliz, não só por poder conhecer São Paulo, como também pela possibilidade de me qualificar, ainda mais, no instrumento que escolhi para minha vida, o saxofone tenor”, comenta.
Para entrar em contato com o Núcleo de Fomento a Bandas e Orquestras e ter acesso a informações sobre o Curso de Fomento a Bandas e Corporações Musicais 2018, basta entrar em contato pelo telefone: (31) 3551-1228 ou pelo e-mail: nucleo@orquestraouropreto.com.br
 
AGENDA
MÓDULO 01
14 e 15 de abril
Sábado: das 10h às 12h e das 13h30 às 15h30 / Domingo: das 10h às 15h30.
Local: Ouro Preto – Grêmio Literário Tristão de Ataíde | GLTA – Sede da Orquestra Ouro Preto – Rua Paraná, 136, Centro.
Professores: João Paulo Moreira (Orquestra Experimental de Repertório de São Paulo) e Fernando Paina (Orquestra de Sopros de Fernandópolis/SP).
 
MÓDULO 02
23 e 24 de junho
Sábado: das 10h às 12h e das 13h30 às 15h30 / Domingo: das 10h às 15h30.
Local: Ouro Preto – Grêmio Literário Tristão de Ataíde | GLTA – Sede da Orquestra Ouro Preto – Rua Paraná, 136, Centro.
Professores: João Paulo Moreira (Orquestra Experimental de Repertório de São Paulo), Alexandre Takahama (UNIPAMPA/RS).
 
MÓDULO 03
18 e 19 de agosto
Sábado: das 10h às 12h e das 13h30 às 15h30 / Domingo: das 10h às 15h30.
Local: Ouro Preto – Grêmio Literário Tristão de Ataíde | GLTA – Sede da Orquestra Ouro Preto – Rua Paraná, 136, Centro.
Professores: João Paulo Moreira (Orquestra Experimental de Repertório de São Paulo), Dario Sotelo (Presidente da Associação Mundial de Bandas).
 
MÓDULO 04
01 e 02 de setembro
Mostra Final
Local: Ouro Preto – Grêmio Literário Tristão de Ataíde | GLTA – Sede da Orquestra Ouro Preto – Rua Paraná, 136, Centro e Praça Tiradentes.
",OOP,20/6/2018
MÚSICA PARA CINEMA,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2018/05/oop_18_domingos_classicos_MPC_cover_noticia.jpg,ORQUESTRA LANÇA DVD EM BH,"A Orquestra Ouro Preto, regida pelo maestro Rodrigo Toffolo, lança o DVD Música Para Cinema. O lançamento será no Grande Teatro do Sesc Palladium (R. Rio de Janeiro, 1046, Centro), às 11h, domingo, 10 de junho. O concerto de lançamento do DVD é a quarta apresentação da Série Domingos Clássicos 2018, que celebra a residência da Orquestra Ouro Preto no Sesc Palladium, por meio de parceria com o Sesc em Minas. A apresentação conta ainda com a presença do solista Rodrigo de Oliveira, na execução da peça O Violino Vermelho.
Além do concerto, que será oferecido com ingressos a preços populares, o público poderá participar de uma atividade formativa e aproximar-se ainda mais do universo da Orquestra Ouro Preto. Trinta minutos antes do concerto, o público terá a oportunidade de participar de um bate-papo com o maestro da Orquestra Ouro Preto no “Fala, Maestro”. “Em parceria com o Sesc oferecemos ao público a oportunidade de mergulhar ainda mais no universo da música erudita ao ter a chance de ouvir as histórias e as curiosidades sobre a música de concerto durante o bate-papo comigo”, ressalta Toffolo.
Os ingressos para o concerto Música Para Cinema estão à venda por R$ 20,00 (inteira) e R$ 10,00 (meia). Os trabalhadores do comércio de bens, serviços e turismo têm 60% de desconto e pagam R$ 8,00. Os convites podem ser adquiridos na bilheteria do Sesc Palladium e no www.ingressorapido.com.br
Música Para Cinema
Gravado em Ouro Preto, no Largo do Rosário, cenário cinematográfico localizado na cidade Patrimônio Cultural da Humanidade, o DVD Música para Cinema cobre de imagens as músicas do CD homônimo lançado no ano passado.
Seguindo a proposta do disco em promover uma homenagem ao cinema, contando parte da história da sétima arte por meio de trilhas sonoras que tornaram-se inesquecíveis e de grande importância para nossa cultura, a versão audiovisual de Música para Cinema foi registrada ao vivo, em agosto do ano passado, reunindo aproximadamente 30 mil pessoas em Ouro Preto, em dois dias de gravação.
O DVD promete emocionar os espectadores, não só pela força de suas imagens que poetizam a cidade colonial, seus casarios, pores do sol, a secular Igreja de Nossa Senhora do Rosário dos Pretos e a Casa da Ópera – mais antigo teatro das Américas em funcionamento – mas pelas músicas que o compõe, apresentando uma cuidadosa seleção de obras que compreendem o cinema nacional e internacional.
O tema de O Carteiro e O Poeta, dirigido por Michael Redford, abre o DVD, remetendo à poesia de Pablo Neruda, ao recriar em um arranjo inédito a atmosfera de amor e amizade inerente ao filme lançado em 1994. Seguida por ele, a gravação apresenta Manhã de Carnaval, obra primorosa de Luiz Bonfá, em arranjo de Pedro Milmam, que se consolidou como paisagem sonora do premiado filme Orfeu Negro (1959), dirigido por Marcel Camus.
Música para Cinema conta ainda com quatro obras que celebram o período clássico do cinema hollywoodiano. Garimpado da filmografia de Charles Chaplin, o disco apresenta um pot-pourri de Smile e Eternarlly, trilhas de Tempos Modernos (1936) e Luzes da Ribalta (1952), respectivamente. As obras ganharam arranjos inéditos, pelas mãos de Mateus Freire. O violinista assina ainda os arranjos dos temas de A Noviça Rebelde (1965) e Casablanca (1942), este, remetendo à emblemática cena em que Ilsa Land, interpretada por Ingrid Bergman, solicita a Sam (Dooley Wilson) que toque, ao piano, a canção As Times Goes By.
A participação de Nelson Ayres também é destacada. O renomado pianista brasileiro integra o trabalho com Chora Coração, música de Tom Jobim e Vinícius de Moraes, arranjada, especialmente, por Nelson para a gravação com a Orquestra Ouro Preto.
Como não só de drama e romance vive o cinema, o projeto revive, em uma de suas faixas, aquela que é considerada uma das cenas mais hilárias da sétima arte, com The Typewriter, de Who’s Mind The Store? (1963), no Brasil traduzido como Errado pra Cachorro, protagonizado por Jerry Lewies, que “toca” uma máquina de escrever imaginária, impactado pelo mundo do trabalho e as novas formas de experienciar o tempo promovidas pela modernidade.
O sexto DVD da Orquestra Ouro Preto traz ainda o tema de Cinema Paradiso (1988) e do documentário brasileiro Três Irmãos de Sangue (2006). O trabalho poderá ser adquirido ao valor de R$30 reais, através da loja virtual da orquestra: www.orquestraouropreto.com.br.
O Violino Vermelho
O público que for ao concerto será recebido com uma surpresa. Além das músicas que integram o DVD, a Orquestra Ouro Preto apresenta, também o tema do filme O Violino Vermelho (1998), dirigido por François Girard. A obra assinada por John Corigliano, será executada pela primeira vez pela Orquestra, com a presença do solista Rodrigo de Oliveira, ao violino.
Domingos Clássicos
A Série Domingos Clássicos tem o objetivo de democratizar o acesso à cultura e proporcionar a aproximação do público com a música de concerto. A cada segundo domingo do mês, a Orquestra Ouro Preto realiza concertos de caráter didático, abordando aspectos estilísticos e formais que caracterizam os períodos apresentados.
 
",OOP,30/5/2018
